"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"129","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS28",150.687647735531,4.38019944751378,-3.22969852931465,54.6077438645613
"130","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS32",81.6543661715637,3.22436920978228,-3.22969852931465,54.6077438645613
"131","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS01",305.325274357907,6.23499970585084,-3.22969852931465,54.6077438645613
"132","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS07",144.712313363473,4.29247527639333,-3.22969852931465,54.6077438645613
"133","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS12",172.061888044459,4.6805555225849,-3.22969852931465,54.6077438645613
"134","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS16",199.175152113854,5.03584829001033,-3.22969852931465,54.6077438645613
"135","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS17",525.118726295193,8.17680822815357,-3.22969852931465,54.6077438645613
"136","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS20",279.173968064223,5.96200751425222,-3.22969852931465,54.6077438645613
"137","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS22",274.779401446231,5.91489644879773,-3.22969852931465,54.6077438645613
"138","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS26",182.188288354058,4.81631947985181,-3.22969852931465,54.6077438645613
"139","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS28",309.607047338445,6.27856620575112,-3.22969852931465,54.6077438645613
"140","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS32",145.996125225804,4.31147353019359,-3.22969852931465,54.6077438645613
"141","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS01",356.717181143343,6.73933543695638,-3.22969852931465,54.6077438645613
"142","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS07",216.613734983237,5.25167757305644,-3.22969852931465,54.6077438645613
"143","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS12",179.18557505018,4.7764648015033,-3.22969852931465,54.6077438645613
"144","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS16",210.634852733689,5.1786931169939,-3.22969852931465,54.6077438645613
"145","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS17",552.771263593132,8.38933985483959,-3.22969852931465,54.6077438645613
"146","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS20",263.251641363149,5.78949393297894,-3.22969852931465,54.6077438645613
"147","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS22",334.598467163235,6.52705140166676,-3.22969852931465,54.6077438645613
"148","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS26",278.062457908124,5.95012703490337,-3.22969852931465,54.6077438645613
"149","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS28",369.312362268647,6.85728156050195,-3.22969852931465,54.6077438645613
"150","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS32",168.41314181793,4.6306616375598,-3.22969852931465,54.6077438645613
"151","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS01",317.41488106066,6.3572413722765,-3.22969852931465,54.6077438645613
"152","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS07",333.948366903136,6.52070752787456,-3.22969852931465,54.6077438645613
